Castle,Inhabitant,Breaks,OwnershipDate
Bamboo Forest of Hermitage,[ b a K o N ],19,23/01/2018
Shadow of Buddha,Synergy II,15,23/01/2018
Swanhild,Insignia Regalia,14,23/01/2018
Leprion,DarkEmpire III,14,23/01/2018
Yssnelf,TheChoseNOnE,14,23/01/2018
Jyolbringer,Immanent Regalia,13,23/01/2018
Kendul, Oops` ,12,23/01/2018
Garden of Heaven,DarkEmpire IV,12,23/01/2018
Lazreagues,Ethereal Royale,10,23/01/2018
Bergell,Ethereal Royale,10,23/01/2018
Arbor of Light, Oops` ,10,23/01/2018
Skoegul,Fatality-,9,23/01/2018
Neuschwanstein,Just A Game,8,23/01/2018
Wurzburgk,Ascension,8,23/01/2018
Red Palace,Imperial Regalia,7,23/01/2018
Melcedez,Ethereal Order,6,23/01/2018
Hohenschwangau, Oops` ,5,23/01/2018
Nuernberg,Atlas,3,23/01/2018
Rothenburg,DarkEmpireII,3,23/01/2018
Kriemhild,CeruleanV II,2,23/01/2018
