Time,Castle,Inhabitant,Remarks
19:58,Jyolbringer,Atlas,OWNER
20:09,Jyolbringer,Funny[]Bastard||,
20:09,Jyolbringer,Funny[]Bastard||,
20:26,Jyolbringer,DarkEmpire IV,
20:30,Jyolbringer, Oops` ,
20:35,Jyolbringer,Funny[]Bastard||,
20:45,Jyolbringer,YinYangSquad,
20:49,Jyolbringer,Funny[]Bastard||,
20:54,Jyolbringer,Vice,
21:00,Jyolbringer,Immanent Regalia,
21:02,Jyolbringer,Atlas,
21:05,Jyolbringer,DarkEmpire-V,
21:08,Jyolbringer,Atlas,
21:12,Jyolbringer,DarkEmpireII,
21:19,Jyolbringer,Atlas,
21:30,Jyolbringer,Ethereal Order,
21:34,Jyolbringer,Funny[]Bastard||,
21:58,Jyolbringer,Fatality- ,WINNER
19:58,Yssnelf,Fatality- ,OWNER
20:10,Yssnelf,OMG!!!!~OhMyGuild~,
20:17,Yssnelf,Echelon,
20:28,Yssnelf,~*RagnaroK~AvengeR*~,
20:33,Yssnelf,Ethereal Order,
20:39,Yssnelf,Valkyrie-Crusade,
20:56,Yssnelf,Ethereal Order,
21:03,Yssnelf,Immanent Regalia,
21:07,Yssnelf,[SHD]-IntruderZ,
21:15,Yssnelf, Oops` ,
21:26,Yssnelf,DarkEmpire IV,
21:30,Yssnelf,Ethereal Order,
21:45,Yssnelf,YinYangSquad,
21:50,Yssnelf,FataIity-,
21:58,Yssnelf,DarkEmpire IV,WINNER
19:58,Shadow of Buddha,DarkEmpire IV,OWNER
20:10,Shadow of Buddha,e L v e n,
20:15,Shadow of Buddha,Atlas,
20:19,Shadow of Buddha,e L v e n,
20:26,Shadow of Buddha,Disconnected,
20:38,Shadow of Buddha,Atlas,
20:42,Shadow of Buddha,Echelon,
20:47,Shadow of Buddha,OldMan~*,
20:52,Shadow of Buddha,Atlas,
20:58,Shadow of Buddha,Fruits,
21:17,Shadow of Buddha,e L v e n ll,
21:20,Shadow of Buddha,CeruleanV,
21:24,Shadow of Buddha,Fruits,
21:58,Shadow of Buddha, Oops` ,WINNER
19:58,Kendul,Ethereal Royale,OWNER
20:11,Kendul,Atlas,
20:14,Kendul,Ethereal Royale,
20:18,Kendul,BlooD,
20:40,Kendul,Pitchfork Emporium,
21:04,Kendul,DarkEmpireII,
21:19,Kendul,CeruleanV II,
21:26,Kendul,Valkyrie-Crusade,
21:32,Kendul,`[C]hee[M]hong`,
21:36,Kendul,DarkEmpire IV,
21:46,Kendul,BlooD,
21:53,Kendul,Atlas,
21:58,Kendul,FataIity-,WINNER
19:58,Bergell, Oops` ,OWNER
20:13,Bergell,TheGreatAlliance,
20:22,Bergell,Funny[]Bastard||,
20:31,Bergell,BlooD,
20:43,Bergell,Atlas,
20:48,Bergell,BlooD,
20:53,Bergell,~*RagnaroK~AvengeR*~,
21:01,Bergell,Imperial Regalia,
21:04,Bergell,BlooD,
21:10,Bergell,~*DreamMakerz*~,
21:22,Bergell,BlooD,
21:58,Bergell,DarkEmpire IV,WINNER
19:58,Arbor of Light,Insignia Regalia,OWNER
20:05,Arbor of Light,Disconnected,
20:07,Arbor of Light,FataIity-,
20:30,Arbor of Light,CeruleanV II,
20:36,Arbor of Light,Insignia Regalia,
20:39,Arbor of Light,Fatality-,
20:45,Arbor of Light,Pitchfork Emporium,
20:50,Arbor of Light,HiddenRainVillage,
21:01,Arbor of Light,Valkyrie Spirit,
